format_id,dict_id,item_id
BZ001,format_type,FT001
BZ002,format_type,FT001
BZ003,format_type,FT001
BZ004,format_type,FT001
BZ005,format_type,FT001
BZ006,format_type,FT002
BZ007,format_type,FT002
BZ008,format_type,FT002
BZ009,format_type,FT002
BZ010,format_type,FT002
BZ011,format_type,FT002
BZ012,format_type,FT002
BZ013,format_type,FT002
BZ014,format_type,FT002
BZ015,format_type,FT002
BZ016,format_type,FT001
BZ017,format_type,FT002
BZ018,format_type,FT002
BZ019,format_type,FT002
BZ001,device,DEV001
BZ001,device,DEV002
BZ002,device,DEV001
BZ002,device,DEV002
BZ003,device,DEV004
BZ004,device,DEV001
BZ005,device,DEV001
BZ005,device,DEV002
BZ006,device,DEV001
BZ006,device,DEV002
BZ007,device,DEV001
BZ007,device,DEV002
BZ008,device,DEV001
BZ008,device,DEV002
BZ009,device,DEV002
BZ010,device,DEV002
BZ011,device,DEV002
BZ012,device,DEV002
BZ013,device,DEV002
BZ014,device,DEV002
BZ015,device,DEV002
BZ016,device,DEV002
BZ017,device,DEV002
BZ018,device,DEV002
BZ018,device,DEV003
BZ019,device,DEV003
BZ006,display,DSP001
BZ006,display,DSP002
BZ007,display,DSP001
BZ007,display,DSP002
BZ008,display,DSP001
BZ008,display,DSP002
BZ009,display,DSP001
BZ010,display,DSP002
BZ011,display,DSP003
BZ012,display,DSP003
BZ013,display,DSP003
BZ014,display,DSP002
BZ015,display,DSP003
BZ017,display,DSP001
BZ018,display,DSP001
BZ019,display,DSP001
BZ001,placement,PLC001
BZ002,placement,PLC001
BZ003,placement,PLC003
BZ004,placement,PLC001
BZ005,placement,PLC002
BZ016,placement,PLC002
BZ001,instream_pos,ISP001
BZ002,instream_pos,ISP001
BZ003,instream_pos,ISP001
BZ004,instream_pos,ISP001
BZ001,dmp,DMP001
BZ001,dmp,DMP002
BZ002,dmp,DMP001
BZ002,dmp,DMP002
BZ003,dmp,DMP001
BZ003,dmp,DMP002
BZ004,dmp,DMP001
BZ004,dmp,DMP002
BZ005,dmp,DMP001
BZ005,dmp,DMP002
BZ006,dmp,DMP001
BZ006,dmp,DMP002
BZ007,dmp,DMP001
BZ007,dmp,DMP002
BZ008,dmp,DMP001
BZ008,dmp,DMP002
BZ009,dmp,DMP001
BZ009,dmp,DMP002
BZ010,dmp,DMP001
BZ010,dmp,DMP002
BZ011,dmp,DMP001
BZ011,dmp,DMP002
BZ012,dmp,DMP001
BZ012,dmp,DMP002
BZ013,dmp,DMP001
BZ013,dmp,DMP002
BZ014,dmp,DMP001
BZ014,dmp,DMP002
BZ015,dmp,DMP001
BZ015,dmp,DMP002
BZ016,dmp,DMP001
BZ016,dmp,DMP002
BZ017,dmp,DMP001
BZ017,dmp,DMP002
BZ018,dmp,DMP001
BZ018,dmp,DMP002
BZ014,production,PR001
BZ015,production,PR001
BZ001,other_markup,OM001
BZ002,other_markup,OM001
BZ004,other_markup,OM001
BZ005,other_markup,OM001
BZ006,other_markup,OM001
BZ007,other_markup,OM001
BZ008,other_markup,OM001
BZ009,other_markup,OM001
BZ010,other_markup,OM001
BZ011,other_markup,OM001
BZ012,other_markup,OM001
BZ013,other_markup,OM001
BZ014,other_markup,OM001
BZ015,other_markup,OM001
BZ016,other_markup,OM001
BZ017,other_markup,OM001
BZ018,other_markup,OM001
BZ019,other_markup,OM001
BZ001,targeting,TG001
BZ001,targeting,TG002
BZ001,targeting,TG004
BZ001,targeting,TG006
BZ001,targeting,TG007
BZ001,targeting,TG015
BZ001,targeting,TG017
BZ001,targeting,TG018
BZ001,targeting,TG009
BZ001,targeting,TG008
BZ001,targeting,TG011
BZ002,targeting,TG001
BZ002,targeting,TG002
BZ002,targeting,TG004
BZ002,targeting,TG006
BZ002,targeting,TG007
BZ002,targeting,TG015
BZ002,targeting,TG017
BZ002,targeting,TG018
BZ002,targeting,TG009
BZ002,targeting,TG008
BZ002,targeting,TG011
BZ003,targeting,TG022
BZ003,targeting,TG021
BZ003,targeting,TG016
BZ004,targeting,TG001
BZ004,targeting,TG002
BZ004,targeting,TG004
BZ004,targeting,TG006
BZ004,targeting,TG007
BZ004,targeting,TG015
BZ004,targeting,TG017
BZ004,targeting,TG018
BZ004,targeting,TG009
BZ004,targeting,TG008
BZ004,targeting,TG011
BZ005,targeting,TG001
BZ005,targeting,TG002
BZ005,targeting,TG004
BZ005,targeting,TG006
BZ005,targeting,TG007
BZ005,targeting,TG015
BZ005,targeting,TG017
BZ005,targeting,TG018
BZ005,targeting,TG009
BZ005,targeting,TG008
BZ005,targeting,TG011
BZ006,targeting,TG001
BZ006,targeting,TG002
BZ006,targeting,TG004
BZ006,targeting,TG006
BZ006,targeting,TG007
BZ006,targeting,TG015
BZ006,targeting,TG017
